TAG,FR,EN,DE,IT,ES,TR
"Copy/paste or enter here the emails of the colleagues you wish to invite","Copiez/collez ou entrez ici les emails des collègues que vous souhaitez inviter","Copy/paste or enter here the emails of the colleagues you wish to invite","Kopieren/Einfügen oder geben Sie hier die E-Mail-Adressen der Kollegen ein,  die Sie einladen möchten","Copiare/incollare o inserire qui l'e-mail del collega che si desidera invitare.","Copie/pegue o introduzca aquí los correos electrónicos del colega que desea invitar","Davet etmek istediğiniz iş arkadaşınızın e-postalarını kopyalayıp yapıştırın veya buraya girin"
"No new colleague...","Pas de nouveau collègue...","No new colleague...","Kein neuer Kollege...","Nessun nuovo collega...","No hay nuevos colegas...","Yeni iş arkadaşı yok..."
"Invite","Inviter","Invite","Einladen","Invita","Invitar","Davetiye"
"Your colleague(s) have been invited.","Vos collaborateurs ont été invités.","Your collegue(s )have been sucessfully invited.","Ihr Kollege wurde erfolgreich eingeladen.","I tuoi colleghi sono stati invitati con successo.","¡Tus colegas han sido invitados con éxito.","Meslektaşlarınız başarıyla davet edildi."
"Signup","S'inscrire","Signup","Anmeldung","Iscriviti","Registrarse","Kaydolun"
"Create you hyperplan account","Créez votre compte hyperplan","Create you hyperplan account","Erstellen Sie Ihr hyperplan-Konto","Crea il tuo account hyperplan","Cree tu cuenta hyperplan","Hyperplan hesabınızı oluşturun"
"I already have an account","J'ai déjà un compte","I already have an account","Ich habe bereits ein Konto","Ho già un account","Ya tengo una cuenta","Zaten bir hesabım var"
"Pulse","Pouls","Pulse","Hülsenfrüchte","Polpa","Pulso","Nabız"
"Oilseeds","Graines oléagineuses","Oilseeds","Ölsaaten","Semi oleosi","Semillas oleaginosas","Yağlı Tohumlar"
"ac","ac","ac","ac","ac","ac","ac"
"cumulated rainfall","précipitations cumulées","cumulated rainfall","kumulierte Niederschlagsmenge","precipitazioni cumulate","precipitación acumulada","birikmiş yağış"
"A zone group is a group of zones of same type. For example: zone group ""Sections"" is made of my TC zones.","Une sectorisation est un groupe de zones de même type. Par exemple, une sectorisation ""Sections"" peut être composée des zones de vos TC.","A zone group is a group of zones of same type. For example: zone group ""Sections"" is made of my TC zones.","Eine Zonengruppe ist eine Gruppe von Zonen desselben Typs. Zum Beispiel: Die Zonengruppe ""Sections"" besteht aus meinen TC-Zonen.","Un gruppo di zone è un gruppo di zone dello stesso tipo. Ad esempio","Un grupo de zonas es un grupo de zonas del mismo tipo. Por ejemplo: el grupo de zonas ""Secciones"" está formado por mis zonas TC.","Bir bölge grubu aynı tipteki bölgelerden oluşan bir gruptur. Örneğin: ""Bölümler"" bölge grubu benim TC bölgelerimden oluşur."
"See meteorology and NDVI","Voir météo et NDVI","See meteorology and NDVI","Siehe Meteorologie und NDVI","Vedi meteorologia e NDVI","Ver datos meteorológicos y NDVI","Meteoroloji ve NDVI verilerine bakın"
"Refine by","Affiner par","Refine by","Verfeinern durch","Raffinare per","Afinar por","Tarafından rafine"
"Affiliate silo","Silo d'affiliation","Affiliate silo","Partner-Silo","Silo di affiliazione","Silo de afiliados","Ortaklık silosu"
"Fields are displayed on the map only if there are less than 10000 results","Les parcelles  ne sont affichées sur la carte que s'il y a moins de 10000 résultats.","Fields are displayed on the map only if there are less than 10000 results","Felder werden nur auf der Karte angezeigt,  wenn es weniger als 10000 Ergebnisse gibt","I campi vengono visualizzati sulla mappa solo se i risultati sono inferiori a 10000.","Los campos se muestran en el mapa sólo si hay menos de 10000 resultados","Alanlar haritada yalnızca 10000'den az sonuç varsa görüntülenir"
"Please enter your credentials again.","Veuillez saisir à nouveau vos informations d'identification.","Please enter your credentials again.","Bitte geben Sie Ihre Anmeldedaten erneut ein.","Inserisci nuovamente le tue credenziali.","Por favor, introduzca sus credenciales de nuevo.","Lütfen kimlik bilgilerinizi tekrar girin."
"Not authenticated","Non authentifié","Not authenticated","Nicht authentifiziert","Non autenticato","No autenticado","Kimliği doğrulanmadı"
"is already used","est déjà utilisé","is already used","wird bereits verwendet","è già utilizzato","ya está utilizado","zaten kullanılıyor"
"Maintenance","Maintenance","Maintenance","Wartung","Manutenzione","Mantenimiento","Bakım"
"Hyperplan is under maintenance","Hyperplan est en maintenance","Hyperplan is under maintenance","Hyperplan befindet sich in der Wartung","Hyperplan è in manutenzione","Hyperplan está en mantenimiento","Hyperplan bakım altında"
"We apologize for the inconvenience.","Nous nous excusons pour la gêne occasionnée.","We apologize for the inconvenience.","Wir entschuldigen uns für die Unannehmlichkeiten.","Ci scusiamo per l'inconveniente.","Disculpe las molestias.","Verdiğimiz rahatsızlıktan dolayı özür dileriz."
"The technical should be available again in a few minutes","Le site devrait être à nouveau disponible dans quelques minutes.","The site should be available again in a few minutes","Die Seite sollte in wenigen Minuten wieder verfügbar sein.","Il sito sarà nuovamente disponibile tra pochi minuti.","El sitio volverá a estar disponible en unos minutos.","Site birkaç dakika içinde tekrar kullanıma açılacaktır"
"Refresh","Actualiser","Refresh","aktualisieren","Aggiornare","Actualizar","Yenile"
"Refine","Affiner","Refine","Verfeinern","Raffinare","Refinar","Rafine"
"You don't have access to the current ZoneGroup..","Vous n'avez pas accès à la sectorisation actuelle...","You don't have access to the current ZoneGroup..","Sie haben keinen Zugriff auf die aktuelle ZoneGroup...","Non è possibile accedere al Gruppo di zone corrente.","Usted no tiene acceso a la ZoneGroup actual..","Mevcut ZoneGroup'a erişiminiz yok."
"Cumulated rainfall","Pluies cumulées","Cumulated rainfall","Kumulierte Niederschlagsmenge","Precipitazioni cumulate","Precipitaciones acumuladas","Birikmiş yağış"
"From","Du","From","Von","Da","Desde","Kimden"
"to","à","to","bis","a","hasta","için"
"Data","Données","Data","Daten","Dati","Datos","Veri"
"Redefine table lines","Redéfinir les lignes du tableau","Redefine table lines","Tabellenzeilen umdefinieren","Ridefinire le linee della tabella","Redefinir líneas de tabla","Tablo çizgilerini yeniden tanımlayın"
"Field ID","Parcelle ID","Field ID","","ID campo","Campo ID","Alan Kimliği"
"Current year","Année en cours","Current year","Aktuelles Jahr","Anno corrente","Año en curso","Geçerli yıl"
"Previous year","Année précédente","Previous year","Vorheriges Jahr","Anno precedente","Año anterior","Önceki yıl"
"Next year","Année suivante","Next year","Nächstes Jahr","Anno successivo","Año siguiente","Gelecek yıl"
"As a reminder, you consider","Pour rappel, vous être en train de considérer","As a reminder, you consider","Zur Erinnerung: Sie betrachten","Come promemoria,  si considera","Como recordatorio,  se considera","Hatırlatma olarak"
"the total of","l'ensemble des","the total of","alle","tutte","todos","toplamını"
"Display satellite background","Afficher la carte satellite","Display satellite background","Satellitenhintergrund anzeigen","Visualizzazione sfondo satellite","Mostrar fondo de satélite","Uydu arka planını görüntüle"
"You do not have access to this link. You have been redirected to home page","Vous n'avez pas accès à ce lien. Vous avez été redirigé vers la page d'accueil.","You do not have access to this link. You have been redirected to home page","","Non avete accesso a questo link. Sei stato reindirizzato alla pagina iniziale.","No tienes acceso a este enlace. Has sido redirigido a la página de inicio.","Bu bağlantıya erişiminiz yok. Ana sayfaya yönlendirildiniz."
"Linked farm","Ferme liée","Linked farm","Verlinkter Bauernhof","Fattoria collegata","Granja vinculada","Bağlantılı çiftlik"
"Shadow","Shadow","Shadow","Shadow","Shadow","Shadow","Shadow"
"Email not found.","Email non trouvé.","Email not found.","E-Mail nicht gefunden.","Email non trovata.","Correo electrónico no encontrado.","E-posta bulunamadı."
"Market share nutrition","Part de marché nutrition","Market share nutrition","Market share nutrition","Quota di mercato nutrizione","Cuota de mercado nutrición","Pazar payı beslenme"
"Market share protection","Part de marché protection","Market share protection","Market share protection","Protezione della quota di mercato","Cuota de mercado protección","Pazar payı koruma"
"Exploration","Exploration","Exploration","Exploration","Esplorazione","Exploración","Keşif"
"Field SIGPAC code","Codice SIGPAC","Field SIGPAC code","Codice SIGPAC","Codice SIGPAC","Codice SIGPAC","Codice SIGPAC"
"Silo","Silo","Silo","Silo","Silo","Silo","Silo"
"No risk ","Aucun risque ","No risk ","","Nessun rischio ","Sin riesgo ","Risk yok "
"Low risk","Risque faible","Low risk","Geringes Risiko","Basso rischio","Riesgo bajo","Düşük risk"
"Moderate risk","Risque modéré","Moderate risk","Mäßiges Risiko","Moderato rischio","Riesgo moderado","Orta risk"
"High risk","Risque élevé","High risk","Hohes Risiko","Alto rischio","Riesgo alto","Yüksek risk"
"Weather data will be unavailable until Septembre, sorry for the disturbance. We are integrating data from a new source, as the current one wasn't accurate enough according to your feedbacks.","Les données météo ne seront plus disponibles jusqu'à septembre, veuillez nous excuser pour la gene occasionée. Nous avons considéré vos retours et nous sommes en train d'intégrer des données d'une source différente, puisque l'actuelle n'était pas assez précise.","Weather data will be unavailable until Septembre, sorry for the disturbance. We are integrating data from a new source, as the current one wasn't accurate enough according to your feedbacks.","","I dati meteorologici non saranno più disponibili fino a settembre, ci scusiamo per il disagio causato. Abbiamo preso in considerazione i vostri feedback e stiamo integrando dati provenienti da una fonte diversa, poiché quella attuale non era sufficientemente precisa.","Los datos meteorológicos no estarán disponibles hasta septiembre. Disculpen las molestias. Hemos tenido en cuenta sus comentarios y estamos integrando datos de una fuente diferente, ya que la actual no era lo suficientemente precisa.","Hava durumu verileri Eylül ayına kadar kullanılamayacaktır, verdiğimiz rahatsızlık için özür dileriz. Geri bildirimlerinizi dikkate aldık ve mevcut verilerin yeterince kesin olmaması nedeniyle farklı bir kaynaktan verileri entegre ediyoruz."
"Sum up crops","Sommer les cultures","Sum up crops","Die Wetterdaten werden bis September nicht mehr verfügbar sein. Wir bitten um Entschuldigung für die Unannehmlichkeiten. Wir haben Ihr Feedback berücksichtigt und sind dabei, Daten aus einer anderen Quelle zu integrieren, da die aktuelle Quelle nicht präzise genug war.","Unisci colture","Combinar cultivos","Ekinleri birleştir"
"Add column","Ajouter une colonne","Add column","Kulturen zusammenführen","Aggiungi colonna","Añadir columna","Sütun ekle"
"To","au","to","Spalte hinzufügen","al","al","to"
"Editors","Editeurs","Editors","bis zum","Redattori","Editores","Editörler"
"Split crops","Séparer les cultures","Split crops","Geteilte Kulturen","Colture separate","Cultivos divididos","Bölünmüş mahsuller"
"Farm code","SIRET","Farm code","Farm code","Farm code","Farm code","Farm code"
"Farm Facility","Installation rattachée à l'exploitation","Farm Facility","Betriebsanlage","Struttura agricola","Instalaciones de la explotación","Çiftlik tesisi"
"PAC grant","Subvention PAC","PAC grant","PAC-Zuschuss","Sovvenzione PAC","Subvención PAC","PAC hibesi"
"Potential","Potentiel","Potential","Potenzial","Potenziale","Potencial","Potansiyel"
"Ha visited","Ha visités","Ha visited","Ha besucht","Ha visitato","Ha visitado","Ha ziyaret edildi"
"T collected","T collectées","T collected","T gesammelt","T raccolto","T recogido","T toplandı"
"Client","Client","Client","Kunde","Cliente","Cliente","Müşteri"
"TC","TC","TC","TC","TC","TC","Tarla yaşı"
"Farm name","Nom de la ferme","Farm name","Betriebsname","Nome azienda agricola","Nombre de la explotación","Çiftlik adı"
"Farm name","Nom de l'exploitation (le votre)","Farm name (Orga)","Name des Betriebs (Ihr Name)","Nome dell'azienda (il vostro)","Nombre de la explotación (el suyo)","İşletmenin adı (sizin adınız)"
"Requested page was not found, you have been redirected","La page demandée n'a pas été trouvée, vous avez été redirigé sur le module exploration.","Requested page was not found, you have been redirected","Die angeforderte Seite wurde nicht gefunden, Sie wurden weitergeleitet.","La pagina richiesta non è stata trovata, sei stato reindirizzato","No se ha encontrado la página solicitada, has redirigido","İstenen sayfa bulunamadı, yönlendirildiniz."
